names,alt_names,id,source,has_ambiguous_surname,short_fullname,short_surname,important_name
A. A. Fisher,"['a. a. fisher', 'fisher']",104303,frus,False,True,False,False
A. Azevedo,"['a. azevedo', 'azevedo']",500001,cpdoc,True,True,False,False
A. Bentinck,"['a. bentinck', 'bentinck']",101196,frus,False,True,False,False
A. F. Susin,"['a. f. susin', 'susin']",113218,frus,False,True,False,False
A. Faria,"['a. faria', 'faria']",500002,cpdoc,True,True,False,False
A. I. De Lima,"['a. i. de lima', 'de lima']",500003,cpdoc,True,True,True,False
A. J. Peixoto De Castro,"['a. j. peixoto de castro', 'peixoto de castro']",500004,cpdoc,True,False,False,False
A. L. Conrad,"['a. l. conrad', 'conrad']",102792,frus,False,True,False,False
A. M. Malik,"['a. m. malik', 'malik']",108408,frus,False,True,False,False
Abdel Meguid,['abdel meguid'],108986,frus,False,False,False,False
Abdelaziz Bouteflika,['abdelaziz bouteflika'],101613,frus,False,False,False,False
Abdou Diouf,['abdou diouf'],103510,frus,False,False,False,False
Abdoulaye Wade,['abdoulaye wade'],114158,frus,False,False,True,False
Abel Muzorewa,['abel muzorewa'],109595,frus,False,False,False,False
Abgar Renault,['abgar renault'],500005,cpdoc,False,False,False,False
Abraham Lincoln,['abraham lincoln'],107973,frus,False,False,False,False
Abreu Lima,['abreu lima'],500006,cpdoc,True,False,True,False
Adalberto De Barros Nunes,['adalberto de barros nunes'],500007,cpdoc,True,False,False,False
Adalberto Pereira Dos Santos,['adalberto pereira dos santos'],500008,cpdoc,True,False,False,False
Adalberto Sena,['adalberto sena'],500009,cpdoc,False,False,True,False
Adam Malik,['adam malik'],108406,frus,False,False,False,False
Ademar De Barros,['ademar de barros'],500010,cpdoc,True,False,False,False
Ademar De Barros Filho,['ademar de barros filho'],500011,cpdoc,True,False,False,False
Adlai E. Stevenson,"['adlai e. stevenson', 'adlai stevenson']",500012,cpdoc,False,False,False,False
Adolf Hitler,['adolf hitler'],105970,frus and cpdoc,False,False,False,False
Adolfo López Mateos,"['adolfo lópez mateos', 'adolfo lopez mateos']",108115,frus,False,False,False,False
Adolfo Suarez,['adolfo suarez'],113141,frus,False,False,False,False
Adroaldo Mesquita Da Costa,['adroaldo mesquita da costa'],500013,cpdoc,True,False,False,False
Adyr Fiúza De Castro,"['adyr fiúza de castro', 'adyr fiuza de castro']",500014,cpdoc,True,False,False,False
Affonso Massot,['affonso massot'],500015,cpdoc,False,False,False,False
Afonso Arinos De Melo Franco,['afonso arinos de melo franco'],500016,cpdoc,True,False,True,False
Afonso Pena,['afonso pena'],500017,cpdoc,True,False,True,False
Afrânio Coutinho,"['afrânio coutinho', 'afranio coutinho']",500018,cpdoc,True,False,False,False
Afrânio De Oliveira,"['afrânio de oliveira', 'afranio de oliveira']",500019,cpdoc,True,False,False,False
Afrânio Nabuco,"['afrânio nabuco', 'afranio nabuco']",500020,cpdoc,True,False,False,False
Agamenon Magalhães,"['agamenon magalhães', 'agamenon magalhaes']",500021,cpdoc,True,False,False,False
Agha Abdul Hamid,['agha abdul hamid'],105450,frus,False,False,False,False
Agha Shahi,['agha shahi'],112279,frus,False,False,False,False
Ahmed Osman,['ahmed osman'],110152,frus,False,False,False,False
Airton Sandoval,['airton sandoval'],500022,cpdoc,False,False,False,False
Akasaka,['akasaka'],500023,azeredopapers,False,True,False,False
Akihito,['akihito'],100181,frus,False,True,False,False
Alain Poher,['alain poher'],110824,frus,False,False,False,False
Alan G. James,"['alan g. james', 'alan james']",106525,frus,False,False,False,False
Alan M. Cranston,"['alan m. cranston', 'alan cranston']",102962,frus,False,False,False,False
Albert C. Hall,"['albert c. hall', 'albert hall']",105415,frus,False,False,True,False
Albert Einstein,['albert einstein'],500024,cpdoc,False,False,False,False
Albert Fishlow,['albert fishlow'],115461,frus,False,False,False,False
Albert I,['albert i'],100206,frus,True,False,True,False
Albert Probst,['albert probst'],500025,cpdoc,False,False,False,False
Alberto Bins,['alberto bins'],500026,cpdoc,False,False,True,False
Alberto Da Costa E Silva,['alberto da costa e silva'],500027,cpdoc,True,False,True,False
Alberto De Brito,['alberto de brito'],500028,cpdoc,True,False,False,False
Alberto De Oliveira,['alberto de oliveira'],500029,cpdoc,True,False,False,False
Alberto Demicheli,['alberto demicheli'],115372,frus,False,False,False,False
Alberto Franco Nogueira,['alberto franco nogueira'],109898,frus,True,False,False,False
Alberto Guzmán Soriano,"['alberto guzmán soriano', 'alberto guzman soriano']",115565,frus,False,False,False,False
Alberto Juan Vignes,['alberto juan vignes'],116237,frus,False,False,True,False
Alberto Lleras Camargo,['alberto lleras camargo'],108041,frus,True,False,False,False
Alberto Nogués,['alberto nogués'],500030,azeredopapers,False,False,False,False
Alberto Pereira Dos Santos,['alberto pereira dos santos'],500031,cpdoc,True,False,False,False
Alberto Raposo Lopes,['alberto raposo lopes'],500032,cpdoc,True,False,False,False
Alberto Silva,['alberto silva'],500033,cpdoc,True,False,False,False
Alberto Torres,['alberto torres'],500034,cpdoc,True,False,False,False
Albuquerque Lima,['albuquerque lima'],500035,cpdoc,True,False,True,False
Alceu Amoroso Lima,['alceu amoroso lima'],500036,cpdoc,True,False,True,False
Alceu De Carvalho,['alceu de carvalho'],500037,cpdoc,True,False,False,False
Alcântara Machado,"['alcântara machado', 'alcantara machado']",500038,cpdoc,True,False,False,False
Aldo Lins E Silva,['aldo lins e silva'],500039,cpdoc,True,False,True,False
Aldo Moro,['aldo moro'],109407,frus,False,False,True,False
Aldo Pinto,['aldo pinto'],500040,cpdoc,True,False,False,False
Alejandro Izaguirre,['alejandro izaguirre'],500041,cpdoc,False,False,False,False
Alejandro Montiel,['alejandro montiel'],115885,frus,False,False,False,False
Alejandro Orfila,['alejandro orfila'],110115,frus,False,False,False,False
Alencar Furtado,['alencar furtado'],500042,cpdoc,True,False,False,False
Alexandra De Kent,['alexandra de kent'],500043,cpdoc,False,False,True,False
Alexandre Costa,['alexandre costa'],500044,cpdoc,True,False,False,False
Alexandre Garcia,['alexandre garcia'],500045,cpdoc,True,False,False,False
Alexandre Kafka,['alexandre kafka'],500046,cpdoc,False,False,False,False
Alexandre Leal,['alexandre leal'],500047,cpdoc,False,False,True,False
Alfonso Arenales,['alfonso arenales'],100544,frus,False,False,False,False
Alfonso Garcia Robles,['alfonso garcia robles'],104702,frus and cpdoc,True,False,False,False
Alfonso Lopez,['alfonso lopez'],108109,frus,False,False,False,False
Alfonso Lopez Michelsen,['alfonso lopez michelsen'],108116,frus,False,False,False,False
Alfonso Lopez Michelson,['alfonso lopez michelson'],109117,frus,False,False,False,False
Alfonso Reyes,['alfonso reyes'],500048,cpdoc,False,False,False,False
