names,alt_names,id,source,has_ambiguous_surname,short_fullname,short_surname,important_name
a. a. fisher,"['a. a. fisher', 'fisher']",104303,frus,False,True,False,False
a. azevedo,"['a. azevedo', 'azevedo']",500001,cpdoc,True,True,False,False
a. bentinck,"['a. bentinck', 'bentinck']",101196,frus,False,True,False,False
a. f. susin,"['a. f. susin', 'susin']",113218,frus,False,True,False,False
a. faria,"['a. faria', 'faria']",500002,cpdoc,True,True,False,False
a. i. de lima,"['a. i. de lima', 'de lima']",500003,cpdoc,True,True,True,False
a. j. peixoto de castro,"['a. j. peixoto de castro', 'peixoto de castro']",500004,cpdoc,True,False,False,False
a. l. conrad,"['a. l. conrad', 'conrad']",102792,frus,False,True,False,False
a. m. malik,"['a. m. malik', 'malik']",108408,frus,False,True,False,False
abdel meguid,['abdel meguid'],108986,frus,False,False,False,False
abdelaziz bouteflika,['abdelaziz bouteflika'],101613,frus,False,False,False,False
abdou diouf,['abdou diouf'],103510,frus,False,False,False,False
abdoulaye wade,['abdoulaye wade'],114158,frus,False,False,True,False
abel muzorewa,['abel muzorewa'],109595,frus,False,False,False,False
abgar renault,['abgar renault'],500005,cpdoc,False,False,False,False
abraham lincoln,['abraham lincoln'],107973,frus,False,False,False,False
abreu lima,['abreu lima'],500006,cpdoc,True,False,True,False
adalberto de barros nunes,['adalberto de barros nunes'],500007,cpdoc,True,False,False,False
adalberto pereira dos santos,['adalberto pereira dos santos'],500008,cpdoc,True,False,False,False
adalberto sena,['adalberto sena'],500009,cpdoc,False,False,True,False
adam malik,['adam malik'],108406,frus,False,False,False,False
ademar de barros,['ademar de barros'],500010,cpdoc,True,False,False,False
ademar de barros filho,['ademar de barros filho'],500011,cpdoc,True,False,False,False
adlai e. stevenson,"['adlai e. stevenson', 'adlai stevenson']",500012,cpdoc,False,False,False,False
adolf hitler,['adolf hitler'],105970,frus and cpdoc,False,False,False,False
adolfo lópez mateos,"['adolfo lópez mateos', 'adolfo lopez mateos']",108115,frus,False,False,False,False
adolfo suarez,['adolfo suarez'],113141,frus,False,False,False,False
adroaldo mesquita da costa,['adroaldo mesquita da costa'],500013,cpdoc,True,False,False,False
adyr fiúza de castro,"['adyr fiúza de castro', 'adyr fiuza de castro']",500014,cpdoc,True,False,False,False
affonso massot,['affonso massot'],500015,cpdoc,False,False,False,False
afonso arinos de melo franco,['afonso arinos de melo franco'],500016,cpdoc,True,False,True,False
afonso pena,['afonso pena'],500017,cpdoc,True,False,True,False
afrânio coutinho,"['afrânio coutinho', 'afranio coutinho']",500018,cpdoc,True,False,False,False
afrânio de oliveira,"['afrânio de oliveira', 'afranio de oliveira']",500019,cpdoc,True,False,False,False
afrânio nabuco,"['afrânio nabuco', 'afranio nabuco']",500020,cpdoc,True,False,False,False
agamenon magalhães,"['agamenon magalhães', 'agamenon magalhaes']",500021,cpdoc,True,False,False,False
agha abdul hamid,['agha abdul hamid'],105450,frus,False,False,False,False
agha shahi,['agha shahi'],112279,frus,False,False,False,False
ahmed osman,['ahmed osman'],110152,frus,False,False,False,False
airton sandoval,['airton sandoval'],500022,cpdoc,False,False,False,False
akasaka,['akasaka'],500023,azeredopapers,False,True,False,False
akihito,['akihito'],100181,frus,False,True,False,False
alain poher,['alain poher'],110824,frus,False,False,False,False
alan g. james,"['alan g. james', 'alan james']",106525,frus,False,False,False,False
alan m. cranston,"['alan m. cranston', 'alan cranston']",102962,frus,False,False,False,False
albert c. hall,"['albert c. hall', 'albert hall']",105415,frus,False,False,True,False
albert einstein,['albert einstein'],500024,cpdoc,False,False,False,False
albert fishlow,['albert fishlow'],115461,frus,False,False,False,False
albert i,['albert i'],100206,frus,True,False,True,False
albert probst,['albert probst'],500025,cpdoc,False,False,False,False
alberto bins,['alberto bins'],500026,cpdoc,False,False,True,False
alberto da costa e silva,['alberto da costa e silva'],500027,cpdoc,True,False,True,False
alberto de brito,['alberto de brito'],500028,cpdoc,True,False,False,False
alberto de oliveira,['alberto de oliveira'],500029,cpdoc,True,False,False,False
alberto demicheli,['alberto demicheli'],115372,frus,False,False,False,False
alberto franco nogueira,['alberto franco nogueira'],109898,frus,True,False,False,False
alberto guzmán soriano,"['alberto guzmán soriano', 'alberto guzman soriano']",115565,frus,False,False,False,False
alberto juan vignes,['alberto juan vignes'],116237,frus,False,False,True,False
alberto lleras camargo,['alberto lleras camargo'],108041,frus,True,False,False,False
alberto nogués,['alberto nogués'],500030,azeredopapers,False,False,False,False
alberto pereira dos santos,['alberto pereira dos santos'],500031,cpdoc,True,False,False,False
alberto raposo lopes,['alberto raposo lopes'],500032,cpdoc,True,False,False,False
alberto silva,['alberto silva'],500033,cpdoc,True,False,False,False
alberto torres,['alberto torres'],500034,cpdoc,True,False,False,False
albuquerque lima,['albuquerque lima'],500035,cpdoc,True,False,True,False
alceu amoroso lima,['alceu amoroso lima'],500036,cpdoc,True,False,True,False
alceu de carvalho,['alceu de carvalho'],500037,cpdoc,True,False,False,False
alcântara machado,"['alcântara machado', 'alcantara machado']",500038,cpdoc,True,False,False,False
aldo lins e silva,['aldo lins e silva'],500039,cpdoc,True,False,True,False
aldo moro,['aldo moro'],109407,frus,False,False,True,False
aldo pinto,['aldo pinto'],500040,cpdoc,True,False,False,False
alejandro izaguirre,['alejandro izaguirre'],500041,cpdoc,False,False,False,False
alejandro montiel,['alejandro montiel'],115885,frus,False,False,False,False
alejandro orfila,['alejandro orfila'],110115,frus,False,False,False,False
alencar furtado,['alencar furtado'],500042,cpdoc,True,False,False,False
alexandra de kent,['alexandra de kent'],500043,cpdoc,False,False,True,False
alexandre costa,['alexandre costa'],500044,cpdoc,True,False,False,False
alexandre garcia,['alexandre garcia'],500045,cpdoc,True,False,False,False
alexandre kafka,['alexandre kafka'],500046,cpdoc,False,False,False,False
alexandre leal,['alexandre leal'],500047,cpdoc,False,False,True,False
alfonso arenales,['alfonso arenales'],100544,frus,False,False,False,False
alfonso garcia robles,['alfonso garcia robles'],104702,frus and cpdoc,True,False,False,False
alfonso lopez,['alfonso lopez'],108109,frus,False,False,False,False
alfonso lopez michelsen,['alfonso lopez michelsen'],108116,frus,False,False,False,False
alfonso lopez michelson,['alfonso lopez michelson'],109117,frus,False,False,False,False
alfonso reyes,['alfonso reyes'],500048,cpdoc,False,False,False,False
alfonso xiii,['alfonso xiii'],100246,frus,False,False,True,False
alfredo buzaid,['alfredo buzaid'],500049,cpdoc,False,False,False,False
alfredo costa,['alfredo costa'],500050,cpdoc,True,False,False,False
alfredo gómez morales,"['alfredo gómez morales', 'alfredo gomez morales']",104994,frus,False,False,False,False
alfredo poveda burbano,['alfredo poveda burbano'],101935,frus,False,False,False,False
